molecular_trait_id	haQTL	mQTL	eQTL	pQTL
tad1078	FALSE	TRUE	FALSE	FALSE
tad1078	FALSE	TRUE	FALSE	FALSE
tad1078	FALSE	TRUE	FALSE	FALSE
tad1078	FALSE	TRUE	FALSE	FALSE
tad1078	FALSE	TRUE	FALSE	FALSE
tad1079	FALSE	TRUE	FALSE	FALSE
tad1079	FALSE	TRUE	FALSE	FALSE
tad1079	FALSE	TRUE	FALSE	FALSE
tad1079	FALSE	TRUE	FALSE	FALSE
tad108	FALSE	TRUE	FALSE	FALSE
tad1080	FALSE	TRUE	FALSE	FALSE
tad1081	FALSE	TRUE	FALSE	FALSE
tad1081	FALSE	TRUE	FALSE	FALSE
tad1081	FALSE	TRUE	FALSE	FALSE
tad1081	FALSE	TRUE	FALSE	FALSE
tad1081	FALSE	TRUE	FALSE	FALSE
tad1083	FALSE	TRUE	FALSE	FALSE
tad1083	FALSE	TRUE	FALSE	FALSE
tad1083	FALSE	TRUE	FALSE	FALSE
tad1083	FALSE	TRUE	FALSE	FALSE
tad1083	FALSE	TRUE	FALSE	FALSE
tad1084	FALSE	TRUE	FALSE	FALSE
tad1084	FALSE	TRUE	FALSE	FALSE
tad1085	FALSE	TRUE	FALSE	FALSE
tad1085	FALSE	TRUE	FALSE	FALSE
tad1085	FALSE	TRUE	FALSE	FALSE
tad1085	FALSE	TRUE	FALSE	FALSE
tad1085	FALSE	TRUE	FALSE	FALSE
tad1086	FALSE	TRUE	FALSE	FALSE
tad1086	FALSE	TRUE	FALSE	FALSE
tad1087	FALSE	TRUE	FALSE	FALSE
tad1087	FALSE	TRUE	FALSE	FALSE
tad1088	FALSE	TRUE	FALSE	FALSE
tad1088	FALSE	TRUE	FALSE	FALSE
tad1088	FALSE	TRUE	FALSE	FALSE
tad1088	FALSE	TRUE	FALSE	FALSE
tad1088	FALSE	TRUE	FALSE	FALSE
tad1089	FALSE	TRUE	FALSE	FALSE
tad109	FALSE	TRUE	FALSE	FALSE
tad109	FALSE	TRUE	FALSE	FALSE
tad109	FALSE	TRUE	FALSE	FALSE
tad109	FALSE	TRUE	FALSE	FALSE
tad109	FALSE	TRUE	FALSE	FALSE
tad1090	FALSE	TRUE	FALSE	FALSE
tad1091	TRUE	TRUE	FALSE	FALSE
tad1091	FALSE	TRUE	FALSE	FALSE
tad1091	FALSE	TRUE	FALSE	FALSE
tad1091	FALSE	TRUE	FALSE	FALSE
tad1092	FALSE	TRUE	FALSE	FALSE
tad1092	FALSE	TRUE	FALSE	FALSE
tad1092	FALSE	TRUE	FALSE	FALSE
tad1093	FALSE	TRUE	FALSE	FALSE
tad1093	FALSE	TRUE	FALSE	FALSE
tad1093	FALSE	TRUE	FALSE	FALSE
tad1094	FALSE	TRUE	FALSE	FALSE
tad1095	FALSE	TRUE	FALSE	FALSE
tad1097	FALSE	TRUE	FALSE	FALSE
tad1097	FALSE	TRUE	FALSE	FALSE
tad1097	FALSE	TRUE	FALSE	FALSE
tad1097	FALSE	TRUE	FALSE	FALSE
tad1097	FALSE	TRUE	FALSE	FALSE
tad1097	FALSE	TRUE	FALSE	FALSE
tad1097	FALSE	TRUE	FALSE	FALSE
tad1097	FALSE	TRUE	FALSE	FALSE
tad1097	FALSE	TRUE	FALSE	FALSE
tad1098	FALSE	TRUE	FALSE	FALSE
tad1098	FALSE	TRUE	FALSE	FALSE
tad1098	FALSE	TRUE	FALSE	FALSE
tad1099	FALSE	TRUE	FALSE	FALSE
tad1099	FALSE	TRUE	FALSE	FALSE
tad1099	FALSE	TRUE	FALSE	FALSE
tad11	FALSE	TRUE	FALSE	FALSE
tad11	FALSE	TRUE	FALSE	FALSE
tad11	FALSE	TRUE	FALSE	FALSE
tad110	FALSE	TRUE	FALSE	FALSE
tad110	FALSE	TRUE	FALSE	FALSE
tad1100	FALSE	TRUE	FALSE	FALSE
tad1100	FALSE	TRUE	FALSE	FALSE
tad1100	FALSE	TRUE	FALSE	FALSE
tad1100	FALSE	TRUE	FALSE	FALSE
tad1101	FALSE	TRUE	FALSE	FALSE
tad1101	FALSE	TRUE	FALSE	FALSE
tad1103	FALSE	TRUE	FALSE	FALSE
tad1103	FALSE	TRUE	FALSE	FALSE
tad1105	FALSE	TRUE	FALSE	FALSE
tad1105	FALSE	TRUE	FALSE	FALSE
tad1105	FALSE	TRUE	FALSE	FALSE
tad1106	FALSE	TRUE	FALSE	FALSE
tad1106	FALSE	TRUE	FALSE	FALSE
tad1108	FALSE	TRUE	FALSE	FALSE
tad1108	FALSE	TRUE	FALSE	FALSE
tad1108	FALSE	TRUE	FALSE	FALSE
tad1108	FALSE	TRUE	FALSE	FALSE
tad111	FALSE	TRUE	FALSE	FALSE
tad111	FALSE	TRUE	FALSE	FALSE
tad1110	FALSE	TRUE	FALSE	FALSE
tad1112	FALSE	TRUE	FALSE	FALSE
tad1114	FALSE	TRUE	FALSE	FALSE
tad1114	FALSE	TRUE	FALSE	FALSE
tad1114	FALSE	TRUE	FALSE	FALSE
tad1115	FALSE	TRUE	FALSE	FALSE
tad1115	FALSE	TRUE	FALSE	FALSE
tad1116	FALSE	TRUE	FALSE	FALSE
tad1116	FALSE	TRUE	FALSE	FALSE
tad1116	FALSE	TRUE	FALSE	FALSE
tad1116	FALSE	TRUE	FALSE	FALSE
tad1117	FALSE	TRUE	FALSE	FALSE
tad1117	FALSE	TRUE	FALSE	FALSE
tad1117	FALSE	TRUE	FALSE	FALSE
tad1117	FALSE	TRUE	FALSE	FALSE
tad1118	FALSE	TRUE	FALSE	FALSE
tad1118	FALSE	TRUE	FALSE	FALSE
tad1119	FALSE	TRUE	FALSE	FALSE
tad1119	FALSE	TRUE	FALSE	FALSE
tad1119	FALSE	TRUE	FALSE	FALSE
tad1119	FALSE	TRUE	FALSE	FALSE
tad112	FALSE	TRUE	FALSE	FALSE
tad112	FALSE	TRUE	TRUE	FALSE
tad112	FALSE	TRUE	TRUE	FALSE
tad112	FALSE	TRUE	FALSE	FALSE
tad1120	FALSE	TRUE	FALSE	FALSE
tad1120	FALSE	TRUE	FALSE	FALSE
tad1120	FALSE	TRUE	FALSE	FALSE
tad1120	FALSE	TRUE	FALSE	FALSE
tad1120	FALSE	TRUE	TRUE	FALSE
tad1120	FALSE	TRUE	FALSE	FALSE
tad1120	FALSE	TRUE	FALSE	FALSE
tad1120	FALSE	TRUE	FALSE	FALSE
tad1121	FALSE	TRUE	FALSE	FALSE
tad1121	FALSE	TRUE	FALSE	FALSE
tad1121	FALSE	TRUE	FALSE	FALSE
tad1121	FALSE	TRUE	FALSE	FALSE
tad1121	FALSE	TRUE	FALSE	FALSE
tad1121	FALSE	TRUE	FALSE	FALSE
tad1121	FALSE	TRUE	FALSE	FALSE
tad1121	FALSE	TRUE	FALSE	FALSE
tad1121	FALSE	TRUE	FALSE	FALSE
tad1122	FALSE	TRUE	FALSE	FALSE
tad1122	FALSE	TRUE	FALSE	FALSE
tad1122	FALSE	TRUE	FALSE	FALSE
tad1122	FALSE	TRUE	FALSE	FALSE
tad1122	FALSE	TRUE	FALSE	FALSE
tad1122	FALSE	TRUE	FALSE	FALSE
tad1122	FALSE	TRUE	FALSE	FALSE
tad1122	FALSE	TRUE	FALSE	FALSE
tad1122	FALSE	TRUE	FALSE	FALSE
tad1122	FALSE	TRUE	FALSE	FALSE
tad1123	FALSE	TRUE	FALSE	FALSE
tad1123	FALSE	TRUE	FALSE	FALSE
tad1123	FALSE	TRUE	FALSE	FALSE
tad1123	FALSE	TRUE	FALSE	FALSE
tad1124	FALSE	TRUE	FALSE	FALSE
tad1124	FALSE	TRUE	FALSE	FALSE
tad1124	FALSE	TRUE	FALSE	FALSE
tad1125	FALSE	TRUE	FALSE	FALSE
tad1125	FALSE	TRUE	FALSE	FALSE
tad1125	FALSE	TRUE	FALSE	FALSE
tad1125	FALSE	TRUE	FALSE	FALSE
tad1125	FALSE	TRUE	FALSE	FALSE
tad1125	FALSE	TRUE	FALSE	FALSE
tad1125	FALSE	TRUE	FALSE	FALSE
tad1125	FALSE	TRUE	FALSE	FALSE
tad1125	FALSE	TRUE	FALSE	FALSE
tad1128	TRUE	TRUE	TRUE	FALSE
tad1128	TRUE	TRUE	TRUE	FALSE
tad1128	FALSE	TRUE	FALSE	FALSE
tad1128	FALSE	TRUE	FALSE	FALSE
tad1128	FALSE	TRUE	FALSE	FALSE
tad1128	FALSE	TRUE	FALSE	FALSE
tad1128	FALSE	TRUE	TRUE	FALSE
tad1128	FALSE	TRUE	FALSE	FALSE
tad1128	FALSE	TRUE	FALSE	FALSE
tad113	FALSE	TRUE	TRUE	FALSE
tad113	FALSE	TRUE	FALSE	FALSE
tad113	FALSE	TRUE	TRUE	FALSE
tad113	FALSE	TRUE	FALSE	FALSE
tad113	FALSE	TRUE	FALSE	FALSE
tad113	FALSE	TRUE	FALSE	FALSE
tad113	FALSE	TRUE	FALSE	FALSE
tad113	FALSE	TRUE	FALSE	FALSE
