molecular_trait_id.x	cs_order.x	molecular_trait_id.y	cs_order.y	n	max_effect.ha	max_effect.m	haQTL_unique_gene	mQTL_unique_gene	shared_gene	cat
tad363	4	tad363	8	1	0.02789692872770016	0.36619758572669986	FALSE	TRUE	FALSE	Others, R^2 = -0.541
tad364	2	tad364	4	5	-0.3870925571609153	0.5465099205219025	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad375	4	tad375	1	3	-0.05710833713103418	0.817667264007845	TRUE	TRUE	TRUE	All TSS shared by haQTL and mQTL CS, R^2 = -0.749 
tad380	2	tad380	8	1	0.28101737540915406	-0.4505131614140667	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad39	1	tad39	2	1	-0.5024685011651608	0.3334190708375968	TRUE	TRUE	TRUE	All TSS shared by haQTL and mQTL CS, R^2 = -0.749 
tad40	2	tad40	6	1	-0.2682599869885338	0.21260946242409895	TRUE	FALSE	FALSE	Others, R^2 = -0.541
tad402	1	tad402	6	3	-0.1446944151995527	-0.15980130870646428	TRUE	FALSE	FALSE	Others, R^2 = -0.541
tad410	1	tad410	2	2	-0.10235206650192057	0.0880484547127858	TRUE	FALSE	FALSE	Others, R^2 = -0.541
tad417	1	tad417	5	2	-0.11387802855562489	0.1868113218303281	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad423	1	tad423	4	1	-0.2880126768373439	0.32156728807690993	NA	NA	NA	No TSS in affected region, R^2 = -0.655
tad426	1	tad426	2	1	-0.7144735434355007	0.6375003133726526	TRUE	TRUE	TRUE	All TSS shared by haQTL and mQTL CS, R^2 = -0.749 
tad426	2	tad426	8	1	0.25788093007526636	-0.2485293469664265	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad429	1	tad429	1	1	0.19859854757746623	-0.5444629486966555	NA	NA	NA	No TSS in affected region, R^2 = -0.655
tad435	1	tad435	4	6	-0.4762813746011273	0.22894878533541557	TRUE	FALSE	FALSE	Others, R^2 = -0.541
tad435	3	tad435	8	2	-0.17135649358978086	-0.10443373067626656	TRUE	FALSE	FALSE	Others, R^2 = -0.541
tad436	2	tad436	7	1	0.11173473396913088	-0.16117372033515875	TRUE	FALSE	FALSE	Others, R^2 = -0.541
tad441	1	tad441	4	1	0.25315231251749304	-0.2590593509565676	FALSE	TRUE	TRUE	Others, R^2 = -0.541
tad443	2	tad443	5	15	0.2094265435046509	-0.16034143404320655	TRUE	TRUE	TRUE	All TSS shared by haQTL and mQTL CS, R^2 = -0.749 
